Category,Issue,Keywords,Description,Do,Don't,Code Example Good,Code Example Bad,Severity
Accessibility,Missing Alt Text,"accessibility, alt, image, media","Images missing alt text are invisible to screen readers per WCAG 1.1.1","Always provide descriptive 'alt' text for meaningful images. Use empty alt="""" for decorative images.","Don't use filenames like 'image1.jpg' or omit the attribute completely.","<img src=""photo.jpg"" alt=""A smiling team working on laptops"" />","<img src=""photo.jpg"" />",HIGH
Accessibility,Low Contrast,"accessibility, contrast, color, readability","Text contrast ratio below 4.5:1 makes content unreadable for low-vision users (WCAG 1.4.3)","Ensure normal text has at least 4.5:1 contrast against background. Large text (18pt+) needs 3:1.","Don't rely solely on color to convey meaning or use subtle grey text on white.","color: #1a202c; /* against white */","color: #ccc; /* against white */",HIGH
Accessibility,Keyboard Navigation,"accessibility, keyboard, navigation, focus","Interactive elements not reachable or usable via keyboard prevents access for motor-impaired users","Ensure all interactive elements (buttons, links, inputs) are tab-accessible and have visible focus states.","Don't remove outline: none without replacing it with a visible focus style.","button:focus { outline: 2px solid blue; }","button:focus { outline: none; }",HIGH
Layout,Horizontal Scroll,"layout, responsive, scroll, mobile","Unintentional horizontal scrolling on mobile devices hurts UX","Use max-width: 100% on images/containers. Use overflow-x: hidden on body if strictly necessary.","Don't set fixed widths in pixels > 320px without media queries.","width: 100%; max-width: 600px;","width: 800px;",MEDIUM
Layout,Tap Targets,"layout, mobile, touch, button","Touch targets too small frustrate mobile users","Ensure clickable elements are at least 44x44px (iOS) or 48x48dp (Android).","Don't place tiny links close together.","padding: 12px; min-height: 44px;","padding: 2px; height: 20px;",MEDIUM
Forms,Missing Labels,"forms, accessibility, input, label","Form inputs without associated labels are inaccessible","Use explicit <label for=""id""> or implicit <label><input></label> association.","Don't use placeholder text as a replacement for labels.","<label for=""email"">Email</label><input id=""email"" />","<input placeholder=""Email"" />",HIGH
Forms,Input Types,"forms, mobile, ux, input","Using generic text inputs defines poor keyboard on mobile","Use semantic input types (email, tel, number) to trigger correct mobile keyboards.","Don't use type=""text"" for everything.","<input type=""email"" />","<input type=""text"" name=""email"" />",MEDIUM
Performance,Large Images,"performance, images, load, speed","Serving unoptimized/oversized images slows page load","Use responsive images (srcset), WebP format, and proper sizing/compression.","Don't serve a 4000px wide image for a 300px thumbnail.","<img srcset=""small.jpg 300w, large.jpg 1000w"" />","<img src=""huge-raw-photo.jpg"" />",MEDIUM
Performance,Render Blocking,"performance, css, js, blocking","Critical rendering path blocked by non-essential scripts","Defer non-critical JS. Inline critical CSS. Use async/defer attributes.","Don't put large JS bundles in the <head> without async/defer.","<script src=""app.js"" defer></script>","<head><script src=""app.js""></script></head>",MEDIUM
Security,Target Blank,"security, links, phishing, tabnabbing","target=""_blank"" without rel=""noopener noreferrer"" exposes window object","Always add rel=""noopener noreferrer"" to external links opening in new tabs.","Don't use target=""_blank"" alone.","<a href=""..."" target=""_blank"" rel=""noopener noreferrer"">Link</a>","<a href=""..."" target=""_blank"">Link</a>",HIGH
SEO,Heading Hierarchy,"seo, headings, structure, semantics","Skipping heading levels (h2 to h4) confuses screen readers and search engines","Use a logical heading hierarchy (h1 -> h2 -> h3). One h1 per page.","Don't choose headings based on visual size alone.","<h1>Title</h1><h2>Subtitle</h2>","<h1>Title</h1><h4>Subtitle</h4>",MEDIUM
UX,Loading States,"ux, loading, performance, feedback","Lack of feedback during data fetches looks like a broken page","Use skeletons or spinners to indicate loading. Avoid layout shifts.","Don't show a blank white screen while data loads.","if (loading) return <Skeleton />","if (loading) return null",MEDIUM
UX,Error States,"ux, error, form, feedback","Generic error messages frustrate users","Provide specific, actionable error messages inline with the problematic field.","Don't just say 'Error occurred' or alert() errors.","<span>Password must be 8 chars</span>","<span>Invalid</span>",MEDIUM
HTML,Semantic Tags,"html, semantics, seo, accessibility","Overuse of <div> and <span> loses document structure meaning","Use semantic tags like <header>, <nav>, <main>, <article>, <footer>, <button>.","Don't use <div onClick=...> for buttons.","<button onClick={...}>Click</button>","<div onClick={...}>Click</div>",MEDIUM
CSS,Z-Index Wars,"css, layout, z-index, stacking","Arbitrary high z-index values make maintenance a nightmare","Establish a z-index scale (var(--z-modal)) or stacking contexts.","Don't use z-index: 999999.","z-index: var(--z-modal);","z-index: 99999;",LOW
JS,Console Logs,"js, production, logging, debug","Leaving console.log in production looks unprofessional and can impact performance","Strip console.log in production builds.","Don't ship debugging logs to users.","// configured in bundler","console.log(users)",LOW
